Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,16,Variable Event,aaaCorrect_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aaaIncorrect_CounterA,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aaaIncorrect_CounterB_Old,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aabCorrection_Correct_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aabCorrection_IncorrectA_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aabCorrection_IncorrectB_Counter,,0,1,Value,0,,,,,,,,
41.741,16,Variable Event,aaaCorrect_Counter,,8,1,Value,1,,,,,,,,
72.43,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,1,,,,,,,,
101.442,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,1,,,,,,,,
131.684,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,1,,,,,,,,
155.666,16,Variable Event,aaaIncorrect_CounterA,,11,1,Value,1,,,,,,,,
187.598,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,2,,,,,,,,
214.675,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,1,,,,,,,,
245.138,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,3,,,,,,,,
275.185,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,2,,,,,,,,
303.011,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,2,,,,,,,,
327.925,16,Variable Event,aaaIncorrect_CounterA,,11,1,Value,2,,,,,,,,
358.285,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,3,,,,,,,,
389.252,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,4,,,,,,,,
423.373,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,5,,,,,,,,
455.577,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,4,,,,,,,,
483.781,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,5,,,,,,,,
521.047,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,3,,,,,,,,
566.304,16,Variable Event,aaaCorrect_Counter,,8,1,Value,2,,,,,,,,
594.172,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,2,,,,,,,,
648.165,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,6,,,,,,,,
677.891,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,4,,,,,,,,
709.047,16,Variable Event,aaaIncorrect_CounterA,,11,1,Value,3,,,,,,,,
740.716,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,6,,,,,,,,
776.176,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,5,,,,,,,,
818.324,16,Variable Event,aaaIncorrect_CounterA,,11,1,Value,4,,,,,,,,
856.767,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,7,,,,,,,,
884.8,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,7,,,,,,,,
912.952,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,8,,,,,,,,
942.449,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,9,,,,,,,,
975.926,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,10,,,,,,,,
1005.081,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,6,,,,,,,,
1030.943,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,3,,,,,,,,
1064.115,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,8,,,,,,,,
1091.731,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,7,,,,,,,,
1122.575,16,Variable Event,aaaCorrect_Counter,,8,1,Value,3,,,,,,,,
