Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
0,16,Variable Event,aaaCorrect_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aaaIncorrect_CounterA,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aaaIncorrect_CounterB_Old,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aabCorrection_Correct_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aabCorrection_IncorrectA_Counter,,0,1,Value,0,,,,,,,,
0,16,Variable Event,aabCorrection_IncorrectB_Counter,,0,1,Value,0,,,,,,,,
12.541,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,1,,,,,,,,
44.345,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,1,,,,,,,,
73.574,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,1,,,,,,,,
100.126,16,Variable Event,aaaIncorrect_CounterA,,11,1,Value,1,,,,,,,,
128.578,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,2,,,,,,,,
163.183,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,3,,,,,,,,
191.234,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,1,,,,,,,,
220.387,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,4,,,,,,,,
250.356,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,5,,,,,,,,
278.376,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,6,,,,,,,,
313.927,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,2,,,,,,,,
340.28,16,Variable Event,aaaCorrect_Counter,,8,1,Value,1,,,,,,,,
370.382,16,Variable Event,aaaIncorrect_CounterA,,11,1,Value,2,,,,,,,,
400.233,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,2,,,,,,,,
427.289,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,3,,,,,,,,
453.381,16,Variable Event,aaaIncorrect_CounterA,,11,1,Value,3,,,,,,,,
487.136,16,Variable Event,aabCorrection_IncorrectA_Counter,,11,1,Value,7,,,,,,,,
514.887,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,4,,,,,,,,
539.538,16,Variable Event,aaaCorrect_Counter,,8,1,Value,2,,,,,,,,
565.64,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,2,,,,,,,,
594.745,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,5,,,,,,,,
620.003,16,Variable Event,aaaCorrect_Counter,,8,1,Value,3,,,,,,,,
662.255,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,3,,,,,,,,
689.675,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,6,,,,,,,,
714.338,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,4,,,,,,,,
743.239,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,7,,,,,,,,
769.54,16,Variable Event,aaaCorrect_Counter,,8,1,Value,4,,,,,,,,
792.741,16,Variable Event,aaaCorrect_Counter,,8,1,Value,5,,,,,,,,
819.295,16,Variable Event,aaaCorrect_Counter,,8,1,Value,6,,,,,,,,
844.863,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,5,,,,,,,,
873.97,16,Variable Event,aabCorrection_Correct_Counter,,8,1,Value,8,,,,,,,,
897.92,16,Variable Event,aaaCorrect_Counter,,8,1,Value,7,,,,,,,,
923.041,16,Variable Event,aaaCorrect_Counter,,8,1,Value,8,,,,,,,,
948.242,16,Variable Event,aaaCorrect_Counter,,8,1,Value,9,,,,,,,,
973.895,16,Variable Event,aaaIncorrect_CounterB_Old,,11,1,Value,6,,,,,,,,
1002.548,16,Variable Event,aabCorrection_IncorrectB_Counter,,11,1,Value,3,,,,,,,,
